Game,Boxart,URL,IARC
Stray,https://store-images.s-microsoft.com/image/apps.25919.13754210357812593.c3c8aa7a-e063-438f-8dc1-02c5d4abfd95.6a73bdaa-9873-40f5-ae0b-fe820161c3d9?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/stray/9NMPDQ2NRX34/0010,12
Five Nights at Freddy's: Security Breach,https://store-images.s-microsoft.com/image/apps.10586.13754128361868297.68bc6fd5-d386-45be-9412-47122a18a4d3.8aff8847-3060-45c3-a0dc-e5602c4880e4?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys-security-breach/9NMP8KFRTNCD/0010,12
Who's Your Daddy?!,https://store-images.s-microsoft.com/image/apps.51678.13583060481379367.fc82a529-f19a-4040-977a-bad0a6f019aa.c4471a25-f610-462b-926b-214bb3abab7c?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/whos-your-daddy/9NG3C8RL2SLN/0010,16
Friday the 13th: The Game,https://store-images.s-microsoft.com/image/apps.45550.64692616828374411.8ff99461-d60e-42ac-afc0-ad89eb164264.65928487-5b44-49da-8bc8-cf483701647d?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/friday-the-13th-the-game/C0723XB6XJSX/0001,18
Police Simulator: Patrol Officers,https://store-images.s-microsoft.com/image/apps.17215.14523320294659833.0e9cb134-00a8-4d23-9793-93834d8d61ef.369317a5-4d5d-4ffb-8f6a-0cb7e56fed25?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/police-simulator-patrol-officers/9P0NPLQ9P1DB/0010,12
Five Nights at Freddy's: オリジナルシリーズ,https://store-images.s-microsoft.com/image/apps.62637.14220428816844078.75ad8874-64ac-4c0b-b31f-92eb1bbb86b3.92c1c984-b2ff-4b1d-aec5-53ae142c4f6d?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys/9PJ2DSSXZR0P/0010,12
"Warhammer 40,000: Boltgun",https://store-images.s-microsoft.com/image/apps.32152.13723933157550422.dd3f6d8d-3fe0-4721-8bd9-d3c3d678a239.c6addb40-8693-4e0c-b525-15767ee5c2db?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/warhammer-40000-boltgun/9NP77PLZ7B3R/0010,18
Call of Duty®: Modern Warfare® 2 Campaign Remastered,https://store-images.s-microsoft.com/image/apps.22966.13958823218105189.5a0e6185-5389-4d7e-8836-9555f629f20e.9278850e-30a1-48a7-81fb-9dcd4bb4535c?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/call-of-duty-modern-warfare-2-campaign-remastered/9N2CTV36Z5S6/0010,18
Darkwood,https://store-images.s-microsoft.com/image/apps.30719.13952232406524200.357cef58-2385-4151-bb9b-05752b0372ad.29898003-9428-4bf3-a377-a239b49db6c4?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/darkwood/9N2H63Z2GLBC/0010,18
Arma Reforger (Game Preview),https://store-images.s-microsoft.com/image/apps.3686.13663454136506451.6a12e735-62d1-4512-92fa-0b34dd2e43c5.62b6632a-4e3e-4bc8-8997-61430b556a65?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/arma-reforger-game-preview/9NKCKD1WNDQ0/0010,16
Baldur's Gate and Baldur's Gate II: Enhanced Editions,https://store-images.s-microsoft.com/image/apps.19476.13560318840337204.7fb799bf-0c83-4102-a67b-891603f5661f.0597d2f7-f01b-42df-b1b7-49b64fc605cb?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/baldurs-gate-and-baldurs-gate-ii-enhanced-editions/9NCNBWZSHZR5/0010,16
Crime Boss: Rockay City,https://store-images.s-microsoft.com/image/apps.2416.14591636857132348.d071b363-8c91-4d38-872b-80918207711d.f75f923b-e77b-4176-862f-0c69050bfd46?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/crime-boss-rockay-city/9P4KF63WK5P9/0010,18
Five Nights at Freddy's,https://store-images.s-microsoft.com/image/apps.29355.13976193533566168.218fc459-654e-4533-924e-621cfa93d144.152fa6c3-0dff-4ae7-9273-d26c887972c6?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys/9N5253J559LR/0010,12
Ultimate Custom Night,https://store-images.s-microsoft.com/image/apps.1669.14226689683096155.5c721baa-913d-4a65-9c71-adf3a4fcb463.900e2c40-0941-4c7f-ad1d-c34c0a4e0dbf?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/ultimate-custom-night/9PHZ6MLV5NDD/0010,12
Five Nights at Freddy's: Help Wanted,https://store-images.s-microsoft.com/image/apps.33960.14612673754148986.c7a4ea71-f76b-4899-b397-5e2f5774986d.de2b4006-acbb-4c90-b070-832dd0dcbcd4?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys-help-wanted/9P731FVPM8WW/0010,12
Five Nights at Freddy's: Sister Location,https://store-images.s-microsoft.com/image/apps.37225.13548731491092101.290eff6d-e468-4bc1-98c7-7387c91cc601.80b88442-983d-4738-b3ce-f63983053533?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/five-nights-at-freddys-sister-location/9NDH606JXLWJ/0010,12
Skull Island: Rise of Kong,https://store-images.s-microsoft.com/image/apps.39341.14046254477399076.4e7daf43-5b04-4dd0-b275-e33ff395307c.5c39f7ef-5b2b-4e0e-bf48-6623e07eb67f?q=90&w=177&h=177,https://www.xbox.com/ja-JP/games/store/skull-island-rise-of-kong/9N8NDGT7W3M5/0010,12
